Trainer ID,Trainer Class,Trainer Class Constant,Trainer Name,Area,Battle Type,Trainer Items,Party Slot,Potential Ace,Pokemon,Species Constant,Level,Held Item,IVs,Ability Slot,Move 1,Move 2,Move 3,Move 4,Moves Source,Sprite URL,Sheets Image Formula
4,School Kid,TRAINERCLASS_SCHOOL_KID_M,Alex,Route 2,Double Battle,,1,,Hoothoot,SPECIES_HOOTHOOT,3,,0,0,Growl,Peck,Tackle,,learnset <= L3,https://img.pokemondb.net/sprites/home/normal/hoothoot.png,"=IMAGE(""https://img.pokemondb.net/sprites/home/normal/hoothoot.png"")"
4,School Kid,TRAINERCLASS_SCHOOL_KID_M,Alex,Route 2,Double Battle,,2,yes,Poochyena,SPECIES_POOCHYENA,4,,0,0,Tackle,Howl,,,learnset <= L4,https://img.pokemondb.net/sprites/home/normal/poochyena.png,"=IMAGE(""https://img.pokemondb.net/sprites/home/normal/poochyena.png"")"
5,Lass,TRAINERCLASS_LASS,Victoria,Route 2,Double Battle,,1,,Hoppip,SPECIES_HOPPIP,5,,0,0,Splash,Tackle,Tail Whip,,learnset <= L5,https://img.pokemondb.net/sprites/home/normal/hoppip.png,"=IMAGE(""https://img.pokemondb.net/sprites/home/normal/hoppip.png"")"
5,Lass,TRAINERCLASS_LASS,Victoria,Route 2,Double Battle,,2,,Bellsprout,SPECIES_BELLSPROUT,5,,0,0,Vine Whip,,,,learnset <= L5,https://img.pokemondb.net/sprites/home/normal/bellsprout.png,"=IMAGE(""https://img.pokemondb.net/sprites/home/normal/bellsprout.png"")"
5,Lass,TRAINERCLASS_LASS,Victoria,Route 2,Double Battle,,3,yes,Swablu,SPECIES_SWABLU,7,,0,0,Growl,Peck,Disarming Voice,,learnset <= L7,https://img.pokemondb.net/sprites/home/normal/swablu.png,"=IMAGE(""https://img.pokemondb.net/sprites/home/normal/swablu.png"")"
8,Youngster,TRAINERCLASS_YOUNGSTER,Joey,Route 2,Double Battle,,1,,Pidgey,SPECIES_PIDGEY,3,,0,0,Tackle,,,,learnset <= L3,https://img.pokemondb.net/sprites/home/normal/pidgey.png,"=IMAGE(""https://img.pokemondb.net/sprites/home/normal/pidgey.png"")"
8,Youngster,TRAINERCLASS_YOUNGSTER,Joey,Route 2,Double Battle,,2,yes,Rattata,SPECIES_RATTATA,4,,0,0,Tackle,Tail Whip,Quick Attack,,learnset <= L4,https://img.pokemondb.net/sprites/home/normal/rattata.png,"=IMAGE(""https://img.pokemondb.net/sprites/home/normal/rattata.png"")"
9,Bug Catcher,TRAINERCLASS_BUG_CATCHER,Leo,Route 2,Double Battle,,1,yes,Venipede,SPECIES_VENIPEDE,7,,0,0,Poison Sting,Defense Curl,Rollout,,learnset <= L7,https://img.pokemondb.net/sprites/home/normal/venipede.png,"=IMAGE(""https://img.pokemondb.net/sprites/home/normal/venipede.png"")"
9,Bug Catcher,TRAINERCLASS_BUG_CATCHER,Leo,Route 2,Double Battle,,2,,Metapod,SPECIES_METAPOD,6,,0,0,Harden,,,,learnset <= L6,https://img.pokemondb.net/sprites/home/normal/metapod.png,"=IMAGE(""https://img.pokemondb.net/sprites/home/normal/metapod.png"")"
9,Bug Catcher,TRAINERCLASS_BUG_CATCHER,Leo,Route 2,Double Battle,,3,,Kakuna,SPECIES_KAKUNA,6,,0,0,Harden,,,,learnset <= L6,https://img.pokemondb.net/sprites/home/normal/kakuna.png,"=IMAGE(""https://img.pokemondb.net/sprites/home/normal/kakuna.png"")"
